pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SI,9/14/2019,88.8,2.897,3.7011,Adam Kolarek,429664,592473,null,foul,,,,,7,null,R,L,L,NYM,LAD,S,null,null,0,1,2019,1.5024,-0.4682,-0.2989,2.1977,null,null,null,0,8,Bot,null,null,,,431145,,190915_011556,-10.8179,-128.786,3.3042,18.6822,25.0668,-38.2027,3.7271,1.8287,null,null,null,88.23,2054,5.978,566062,592473,431145,571970,666158,607461,608369,572041,641355,592626,54.5216,null,null,null,null,null,null,null,52,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard
SI,9/14/2019,88,2.76,3.6625,Adam Kolarek,429664,592473,null,called_strike,,,,,8,null,R,L,L,NYM,LAD,S,null,null,0,0,2019,1.4202,-0.3519,0.2644,1.9588,null,null,null,0,8,Bot,null,null,,,431145,,190915_011529,-8.9242,-127.7202,2.6953,17.2461,25.6081,-36.7642,3.7271,1.7775,null,null,null,87.627,2042,6.139,566062,592473,431145,571970,666158,607461,608369,572041,641355,592626,54.3605,null,null,null,null,null,null,null,52,1,Sinker,0,0,0,0,0,0,0,0,Standard,Strategic
SI,9/12/2019,87.8,2.8649,3.4831,Adam Kolarek,621466,592473,field_out,hit_into_play,,,,,8,DJ Stewart grounds out to first baseman Cody Bellinger.  ,R,L,L,BAL,LAD,X,3,ground_ball,1,0,2019,1.5037,-0.5243,0.0602,1.9395,623993,600524,669720,2,1,Bot,159.6,164.41,,,431145,,190912_233832,-9.8836,-127.4518,3.4315,18.337,23.4542,-38.757,3.31,1.55,3,79.3,-39.5,88.072,2265,6.36,565004,592473,431145,641355,666158,607461,608369,621035,571771,592626,54.139,0.05,0.048,0,1,0,0,2,10,2,Sinker,1,0,1,0,0,1,1,0,Standard,Standard
SI,9/12/2019,87.8,2.7246,3.5344,Adam Kolarek,621466,592473,null,ball,,,,,7,null,R,L,L,BAL,LAD,B,null,null,0,0,2019,1.2835,-0.1911,-0.3377,1.2682,623993,600524,669720,2,1,Bot,null,null,,,431145,,190912_233809,-9.9721,-127.5618,0.9633,15.7926,23.0179,-34.6331,2.9362,1.2749,null,null,null,87.729,2169,6.058,565004,592473,431145,641355,666158,607461,608369,621035,571771,592626,54.4414,null,null,null,null,null,null,null,10,1,Sinker,1,0,1,0,0,1,1,0,Standard,Standard
SL,9/11/2019,75,2.4372,3.8369,Adam Kolarek,592863,592473,field_out,hit_into_play,,,,,6,Mason Williams flies out to left fielder A.  J. Pollock.  ,R,L,L,BAL,LAD,X,7,fly_ball,1,1,2019,-0.4066,0.6682,0.4346,2.131,null,null,null,0,8,Bot,86.45,129.87,,,605131,,190912_013952,-3.4153,-109.2137,2.39,-2.6812,17.632,-27.4604,3.1899,1.4873,null,89.2,39.3,74.904,1859,5.994,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.5058,0.005,0.008,0,1,0,0,3,63,3,Slider,7,2,7,2,2,7,7,2,Standard,Standard
SI,9/11/2019,88.5,2.8334,3.5647,Adam Kolarek,592863,592473,null,swinging_strike,,,,,14,null,R,L,L,BAL,LAD,S,null,null,1,0,2019,1.5126,-0.5948,1.9679,1.999,null,null,null,0,8,Bot,null,null,,,605131,,190912_013932,-5.2359,-128.6393,3.5232,17.7805,28.289,-39.7232,3.3745,1.6719,null,null,null,88.049,2146,6.204,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.2956,null,null,null,null,null,null,null,63,2,Sinker,7,2,7,2,2,7,7,2,Standard,Standard
SI,9/11/2019,88.2,2.6782,3.5523,Adam Kolarek,592863,592473,null,ball,,,,,14,null,R,L,L,BAL,LAD,B,null,null,0,0,2019,1.4411,-0.3669,1.3295,1.4571,null,null,null,0,8,Bot,null,null,,,605131,,190912_013915,-6.2459,-128.2164,1.7543,17.1155,26.0936,-36.7821,3.2948,1.5355,null,null,null,88.076,1986,6.232,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.2678,null,null,null,null,null,null,null,63,1,Sinker,7,2,7,2,2,7,7,2,Standard,Standard
FF,9/11/2019,90.7,1.674,5.0586,Adam Kolarek,600474,592473,home_run,hit_into_play_score,,,,,4,Pedro Severino homers (12) on a fly ball to left center field.   Dwight Smith Jr scores.  ,R,R,L,BAL,LAD,X,null,fly_ball,3,1,2019,1.0794,0.9903,-0.3378,2.568,null,null,596105,0,8,Bot,81.88,21.17,,,605131,,190912_013825,-7.434,-132.0835,-2.5206,14.3333,25.9064,-20.0467,3.2184,1.4587,431,105.9,25.5,91.794,2137,6.728,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,53.771,0.953,1.856,2,1,0,3,6,62,5,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shift,Standard
CH,9/11/2019,81.8,2.367,3.7437,Adam Kolarek,600474,592473,null,blocked_ball,,,,,14,null,R,R,L,BAL,LAD,B,null,null,2,1,2019,1.4511,-0.427,0.9112,0.3252,null,null,596105,0,8,Bot,null,null,,,605131,,190912_013752,-6.1002,-118.9617,-0.2912,14.9844,23.3666,-36.3894,3.2247,1.4648,null,null,null,81.876,2168,6.427,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.0726,null,null,null,null,null,null,null,62,4,Changeup,5,2,5,2,2,5,5,2,Infield shift,Standard
FF,9/11/2019,91.2,1.7754,5.1126,Adam Kolarek,600474,592473,null,ball,,,,,11,null,R,R,L,BAL,LAD,B,null,null,1,1,2019,0.8606,0.9987,-1.237,3.505,null,null,596105,0,8,Bot,null,null,,,605131,,190912_013713,-9.5045,-132.6861,-0.3476,12.2336,26.8259,-20.3244,3.2027,1.4716,null,null,null,91.991,2188,6.65,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,53.8491,null,null,null,null,null,null,null,62,3,4-Seam Fastball,5,2,5,2,2,5,5,2,Infield shift,Standard
CH,9/11/2019,80.3,2.4094,3.5788,Adam Kolarek,600474,592473,null,called_strike,,,,,8,null,R,R,L,BAL,LAD,S,null,null,1,0,2019,1.5042,-0.2158,-0.1649,1.4252,null,null,596105,0,8,Bot,null,null,,,605131,,190912_013652,-8.5919,-116.6533,2.3553,15.4302,21.5372,-34.7957,3.2723,1.4553,null,null,null,80.605,2115,6.549,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,53.9508,null,null,null,null,null,null,null,62,2,Changeup,5,2,5,2,2,5,5,2,Infield shift,Standard
CH,9/11/2019,80.1,2.593,3.5933,Adam Kolarek,600474,592473,null,ball,,,,,12,null,R,R,L,BAL,LAD,B,null,null,0,0,2019,1.2943,-0.4238,2.7071,2.4204,null,null,596105,0,8,Bot,null,null,,,605131,,190912_013631,-2.1858,-116.4563,4.9134,12.1794,21.4574,-37.1481,3.2648,1.4761,null,null,null,80.132,2013,6.317,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.1821,null,null,null,null,null,null,null,62,1,Changeup,5,2,5,2,2,5,5,2,Infield shift,Standard
SI,9/11/2019,88.9,2.8938,3.3654,Adam Kolarek,596105,592473,field_error,hit_into_play_no_out,,,,,8,Dwight Smith Jr reaches on a fielding error by first baseman David Freese.  ,R,L,L,BAL,LAD,X,3,ground_ball,1,1,2019,1.3808,-0.4687,0.1835,1.989,null,null,null,0,8,Bot,154.52,160.35,,,605131,,190912_013546,-9.5164,-129.0834,3.6488,17.3707,25.8006,-38.3612,3.5838,1.5686,null,82.9,-20.7,88.919,2179,6.331,565003,592473,605131,501896,571771,576397,608369,572041,641355,621035,54.1681,0.066,0.06,0.9,1,0,0,2,61,3,Sinker,5,2,5,2,2,5,5,2,Standard,Standard
