pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
SL,9/25/2019,null,null,null,Alex Claudio,606299,592222,field_out,hit_into_play,,,,,null,Jose Peraza lines out to left fielder Ben Gamel.  ,R,R,L,CIN,MIL,X,7,line_drive,3,1,2019,null,null,null,null,null,null,null,0,7,Bot,72,102.78,,,518735,,190926_010725,null,null,null,null,null,null,3.35,1.58,null,91.1,18.2,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,0.484,0.456,0,1,0,0,4,64,5,Slider,2,9,2,9,9,2,2,9,Standard,Standard
SL,9/25/2019,null,null,null,Alex Claudio,606299,592222,null,ball,,,,,null,null,R,R,L,CIN,MIL,B,null,null,2,1,2019,null,null,null,null,null,null,null,0,7,Bot,null,null,,,518735,,190926_010703,null,null,null,null,null,null,3.35,1.58,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,64,4,Slider,2,9,2,9,9,2,2,9,Standard,Standard
SL,9/25/2019,null,null,null,Alex Claudio,606299,592222,null,ball,,,,,null,null,R,R,L,CIN,MIL,B,null,null,1,1,2019,null,null,null,null,null,null,null,0,7,Bot,null,null,,,518735,,190926_010643,null,null,null,null,null,null,3.35,1.58,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,64,3,Slider,2,9,2,9,9,2,2,9,Standard,Standard
SL,9/25/2019,null,null,null,Alex Claudio,606299,592222,null,ball,,,,,null,null,R,R,L,CIN,MIL,B,null,null,0,1,2019,null,null,null,null,null,null,null,0,7,Bot,null,null,,,518735,,190926_010627,null,null,null,null,null,null,3.35,1.58,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,64,2,Slider,2,9,2,9,9,2,2,9,Standard,Standard
SL,9/25/2019,null,null,null,Alex Claudio,606299,592222,null,called_strike,,,,,null,null,R,R,L,CIN,MIL,S,null,null,0,0,2019,null,null,null,null,null,null,null,0,7,Bot,null,null,,,518735,,190926_010611,null,null,null,null,null,null,3.35,1.58,null,null,null,null,null,null,565299,592222,518735,519346,669374,543768,605486,592325,456715,663757,null,null,null,null,null,null,null,null,64,1,Slider,2,9,2,9,9,2,2,9,Standard,Standard
SI,9/21/2019,86.9,2.4433,4.3915,Alex Claudio,596012,592222,single,hit_into_play_no_out,,,,,5,Kevin Kramer singles on a line drive to left fielder Ben Gamel.  ,R,L,L,MIL,PIT,X,7,line_drive,0,0,2019,1.3784,-0.4461,-0.032,2.1033,null,null,null,2,7,Top,59.61,114.6,,,518735,,190922_013556,-8.3728,-126.0484,1.4919,15.6625,23.2686,-37.2763,3.13,1.55,255,83.8,20.8,84.953,1891,4.999,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.5002,0.484,0.475,0.9,1,1,0,4,58,1,Sinker,8,1,1,8,1,8,1,8,Infield shift,Standard
SI,9/21/2019,87.3,2.5557,4.4508,Alex Claudio,571467,592222,strikeout,swinging_strike,,,,,13,Steven Baron strikes out swinging.  ,R,R,L,MIL,PIT,S,2,null,2,2,2019,1.3426,-0.5733,-0.068,1.276,null,null,null,1,7,Top,null,null,,,518735,,190922_013517,-8.7161,-126.6741,-0.3927,15.5417,23.4048,-38.303,3.13,1.55,null,null,null,85.517,1858,5.085,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.415,null,null,0,1,0,0,null,57,5,Sinker,8,1,1,8,1,8,1,8,Standard,Standard
SI,9/21/2019,87.8,2.7159,4.2721,Alex Claudio,571467,592222,null,ball,,,,,14,null,R,R,L,MIL,PIT,B,null,null,1,2,2019,1.3868,-0.4126,2.952,1.6945,null,null,null,1,7,Top,null,null,,,518735,,190922_013453,-2.087,-127.6468,0.6164,14.9155,24.1835,-36.8758,3.31,1.54,null,null,null,85.888,1825,4.932,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,55.567,null,null,null,null,null,null,null,57,4,Sinker,8,1,1,8,1,8,1,8,Standard,Standard
CH,9/21/2019,67.5,2.4744,4.5363,Alex Claudio,571467,592222,null,foul,,,,,9,null,R,R,L,MIL,PIT,S,null,null,1,1,2019,1.6678,-0.0328,0.6504,1.5281,null,null,null,1,7,Top,null,null,,,518735,,190922_013420,-5.9183,-97.8973,2.4306,11.4579,15.5081,-33.0091,3.31,1.54,9,58.6,-10.3,66.686,2080,5.809,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.6909,null,null,null,null,null,null,null,57,3,Changeup,8,1,1,8,1,8,1,8,Standard,Standard
CH,9/21/2019,76.2,2.5834,4.5671,Alex Claudio,571467,592222,null,called_strike,,,,,9,null,R,R,L,MIL,PIT,S,null,null,1,0,2019,1.6588,-0.2173,0.375,2.0518,null,null,null,1,7,Top,null,null,,,518735,,190922_013402,-7.4057,-110.4503,2.1737,14.5526,20.2315,-34.5616,3.31,1.54,null,null,null,null,2248,5.5924,567631,592222,518735,519346,669374,605486,606115,592325,456715,663757,54.9076,null,null,null,null,null,null,null,57,2,Changeup,8,1,1,8,1,8,1,8,null,null
