pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FF,9/25/2019,88.2,-1.9652,5.6358,Yusmeiro Petit,592230,433589,null,called_strike,,,,,8,null,R,L,R,LAA,OAK,S,null,null,3,0,2019,-0.3317,1.4464,0.1636,1.714,641684,null,621493,1,7,Bot,null,null,,,669221,,190926_044742,6.0364,-128.3785,-6.7278,-5.0814,26.9504,-14.2843,3.49,1.61,null,null,null,90.165,2241,7.509,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,52.9905,null,null,null,null,null,null,null,58,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Strategic,Standard
CH,9/25/2019,83.8,-2.1954,5.6582,Yusmeiro Petit,592230,433589,null,blocked_ball,,,,,13,null,R,L,R,LAA,OAK,B,null,null,2,0,2019,-0.7835,1.2912,-0.5811,0.5526,641684,null,621493,1,7,Bot,null,null,,,669221,,190926_044719,5.4312,-121.9961,-8.2122,-9.1144,22.3873,-17.4463,3.49,1.61,null,null,null,85.58,1910,7.262,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.2373,null,null,null,null,null,null,null,58,3,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard
CH,9/25/2019,84.1,-2.149,5.6732,Yusmeiro Petit,592230,433589,null,ball,,,,,13,null,R,L,R,LAA,OAK,B,null,null,1,0,2019,-0.7882,1.3082,-1.4558,0.959,641684,null,621493,1,7,Bot,null,null,,,669221,,190926_044657,3.2654,-122.4936,-7.3832,-8.7878,22.0498,-17.396,3.49,1.61,null,null,null,85.752,1930,7.103,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.3967,null,null,null,null,null,null,null,58,2,Changeup,1,1,1,1,1,1,1,1,Strategic,Standard
CU,9/25/2019,75.2,-1.9716,5.828,Yusmeiro Petit,592230,433589,null,ball,,,,,13,null,R,L,R,LAA,OAK,B,null,null,0,0,2019,0.99,-0.0983,-0.9556,1.5651,641684,null,621493,1,7,Bot,null,null,,,669221,,190926_044634,0.3577,-109.5963,-1.581,7.9336,18.3016,-32.9094,3.49,1.61,null,null,null,75.494,2108,6.296,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,54.2037,null,null,null,null,null,null,null,58,1,Curveball,1,1,1,1,1,1,1,1,Strategic,Standard
FF,9/25/2019,89.3,-0.7636,5.7554,Yusmeiro Petit,621493,433589,field_out,hit_into_play,,,,,5,Taylor Ward flies out to center fielder Chad Pinder.   Michael Hermosillo to 3rd.    Taylor Ward to 1st.  ,R,R,R,LAA,OAK,X,8,fly_ball,3,1,2019,-0.4825,1.3658,-0.2163,2.4541,null,641684,null,0,7,Bot,123.56,63.91,,,669221,,190926_044555,2.398,-129.994,-5.0563,-6.0464,27.9355,-15.6313,3.39,1.59,320,98.5,46.2,89.957,2103,6.729,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.7705,0.024,0.05,0,1,0,0,3,57,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FF,9/25/2019,89.5,-0.6009,5.7025,Yusmeiro Petit,621493,433589,null,ball,,,,,14,null,R,R,R,LAA,OAK,B,null,null,2,1,2019,-0.2712,1.3767,1.0403,1.3689,null,641684,null,0,7,Bot,null,null,,,669221,,190926_044454,4.6779,-130.1515,-7.7044,-4.1252,27.6314,-14.8272,3.39,1.59,null,null,null,90.314,2132,6.848,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.6511,null,null,null,null,null,null,null,57,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard
FC,9/25/2019,85.8,-0.7972,5.7828,Yusmeiro Petit,621493,433589,null,foul,,,,,4,null,R,R,R,LAA,OAK,S,null,null,2,0,2019,-0.4286,1.3618,-0.2823,2.2261,null,641684,null,0,7,Bot,null,null,,,669221,,190926_044226,2.1071,-124.9108,-4.9604,-4.9531,25.4718,-16.9934,3.39,1.59,318,93.8,26.8,86.312,2241,6.619,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.8805,null,null,null,null,null,null,null,57,3,Cutter,1,1,1,1,1,1,1,1,Standard,Standard
FC,9/25/2019,84.2,-0.7856,5.8383,Yusmeiro Petit,621493,433589,null,ball,,,,,12,null,R,R,R,LAA,OAK,B,null,null,1,0,2019,-0.1855,1.2501,0.0897,3.6536,null,641684,null,0,7,Bot,null,null,,,669221,,190926_044156,2.4221,-122.7284,-1.2087,-2.3788,24.8795,-19.4118,3.39,1.59,null,null,null,84.757,2232,6.615,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.8842,null,null,null,null,null,null,null,57,2,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard
FC,9/25/2019,85,-0.7348,5.8225,Yusmeiro Petit,621493,433589,null,ball,,,,,11,null,R,R,R,LAA,OAK,B,null,null,0,0,2019,-0.3009,1.2551,-1.0325,2.8234,null,641684,null,0,7,Bot,null,null,,,669221,,190926_044133,-0.0914,-123.8459,-3.2705,-3.0967,24.6511,-18.7355,3.39,1.59,null,null,null,85.48,2116,6.522,564810,433589,669221,621566,620439,656305,543760,664913,640461,657656,53.9778,null,null,null,null,null,null,null,57,1,Cutter,1,1,1,1,1,1,1,1,Strategic,Standard
CH,9/25/2019,82,-2.1089,5.6845,Yusmeiro Petit,665120,433589,double,hit_into_play_no_out,,,,,11,Jared Walsh doubles (5) on a line drive to center fielder Mark Canha.  ,R,L,R,LAA,OAK,X,8,line_drive,0,1,2019,-0.8897,1.4049,-1.0515,2.5352,null,null,null,0,7,Bot,89.8,59.72,,,669221,,190926_043817,4.2275,-119.4343,-3.4021,-9.5567,23.6848,-17.9131,3.38,1.62,340,97.9,19.5,83.199,1878,7.101,564810,433589,669221,621566,640461,656305,543760,664913,592192,657656,53.3989,0.337,0.409,1.25,1,1,1,4,56,2,Changeup,1,1,1,1,1,1,1,1,Infield shift,Standard
FF,9/25/2019,87.7,-2.2276,5.6918,Yusmeiro Petit,665120,433589,null,foul_bunt,,,,,7,null,R,L,R,LAA,OAK,S,null,null,0,0,2019,-0.5432,1.5253,-0.5282,1.8794,null,null,null,0,7,Bot,null,null,,,669221,,190926_043739,5.2984,-127.721,-6.408,-7.0642,23.9432,-14.1021,3.38,1.62,null,null,null,88.858,2252,6.763,564810,433589,669221,621566,640461,656305,543760,664913,592192,657656,53.7362,null,null,null,null,null,null,null,56,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shift,Standard
CU,9/24/2019,76.5,-0.4414,5.8759,Yusmeiro Petit,405395,433589,strikeout,swinging_strike_blocked,,,,,14,Albert Pujols strikes out swinging.  ,R,R,R,LAA,OAK,S,2,null,2,2,2019,1.3336,-0.188,0.8774,0.6742,592230,null,571718,1,7,Bot,null,null,,,669221,,190925_042709,0.3669,-111.3575,-3.598,11.0392,20.7008,-33.2871,3.22,1.57,null,null,null,76.661,2120,6.466,564809,433589,669221,621566,595777,656305,543760,543257,592192,657656,54.0336,null,null,0,1,0,0,null,57,5,Curveball,3,2,3,2,2,3,3,2,Standard,Standard
FF,9/24/2019,89.6,-0.5937,5.7502,Yusmeiro Petit,405395,433589,null,foul,,,,,6,null,R,R,R,LAA,OAK,S,null,null,2,1,2019,-0.2663,1.5523,0.4861,2.0823,592230,null,571718,1,7,Bot,null,null,,,669221,,190925_042616,3.2797,-130.5061,-6.5117,-3.7715,26.4069,-12.9195,3.22,1.57,203,69.3,34.9,90.799,2180,6.88,564809,433589,669221,621566,595777,656305,543760,543257,592192,657656,53.6198,null,null,null,null,null,null,null,57,4,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard
FC,9/24/2019,85.8,-0.3433,5.7998,Yusmeiro Petit,405395,433589,null,foul,,,,,12,null,R,R,R,LAA,OAK,S,null,null,2,0,2019,-0.1205,1.1654,1.06,2.7073,592230,null,571718,1,7,Bot,null,null,,,669221,,190925_042534,3.5842,-124.9422,-3.471,-1.9717,24.3418,-19.3766,3.22,1.57,null,null,null,86.387,2251,6.551,564809,433589,669221,621566,595777,656305,543760,543257,592192,657656,53.949,null,null,null,null,null,null,null,57,3,Cutter,3,2,3,2,2,3,3,2,Standard,Standard
